species,year,avgcatch,catchUCI,catchLCI
43,2020,9.62847579,16.05731416,3.199637415
50,1971,0.011735428,0.035205505,0
50,1972,0.017597115,0.035557779,0
50,1973,0.050183738,0.1011996,0
50,1974,0.00450378,0.013510707,0
50,1975,0.052218951,0.123861518,0
50,1976,0,0,0
50,1977,0.039107685,0.09445789,0
50,1978,0,0,0
50,1979,0.016513494,0.037906789,0
50,1980,0.032338345,0.070756004,0
50,1981,0.020803656,0.062409702,0
50,1982,0.035845264,0.087954129,0
50,1983,0.018034628,0.043746444,0
50,1984,0.023806286,0.052153293,0
50,1985,0.036163789,0.063267189,0.009060389
50,1986,0.019836665,0.038500761,0.001172569
50,1987,0.045927469,0.084434049,0.00742089
50,1988,0.136993722,0.24156403,0.032423414
50,1989,0.026466569,0.052104015,0.000829122
50,1990,0.107935731,0.209185699,0.006685764
50,1991,0.063868169,0.115605269,0.012131069
50,1992,0.115257399,0.265341929,0
50,1993,0.012500612,0.029127545,0
50,1994,0.0760318,0.140330209,0.011733391
50,1995,0.041307568,0.091963041,0
50,1996,0.098554542,0.182783944,0.01432514
50,1997,0.071098597,0.116833852,0.025363341
50,1998,0.032470106,0.061690295,0.003249918
50,1999,0.01592583,0.03435386,0
50,2000,0.032468916,0.071970974,0
50,2001,0.019849697,0.038528998,0.001170397
50,2002,0.046861425,0.084209675,0.009513174
50,2003,0.013732755,0.032165336,0
50,2004,0.025396767,0.047894064,0.002899471
50,2005,0.044213761,0.104116838,0
50,2006,0.032007574,0.060550074,0.003465074
50,2007,0.034778506,0.063394487,0.006162524
50,2008,0.01657724,0.035419318,0
50,2009,0.017335384,0.041269317,0
50,2010,0.039861891,0.094720352,0
50,2011,0.022293503,0.0442035,0.000383505
50,2012,0.024055034,0.051582609,0
50,2013,0.059340078,0.100871898,0.017808258
50,2014,0.04222095,0.077311293,0.007130607
50,2015,0.068953268,0.126056487,0.01185005
50,2016,0.062929442,0.151469974,0
50,2017,0.011275316,0.027426616,0
50,2018,0.08033578,0.160907296,0
50,2019,0.011662017,0.028287446,0
50,2020,0.032606816,0.068980297,0
51,1971,0,0,0
51,1972,0,0,0
51,1973,0,0,0
51,1974,0,0,0
51,1975,0,0,0
51,1976,0,0,0
51,1977,0,0,0
51,1978,0,0,0
51,1979,0,0,0
